"name","stayed","club","season","points","games","ef","minutes","plusminus","ppg","mpg","efpg","morethan15mpg","morethan5ppg"
"NANKIVIL K",1,"ratiopharm ulm","2012/13",181,23,212,515,112,7.87,22.39,9.22,"More than 15 minutes/game","More than 5 points/game"
"RAY A",0,"ratiopharm ulm","2012/13",367,32,273,723,101,11.47,22.59,8.53,"More than 15 minutes/game","More than 5 points/game"
"SAMHAN O",0,"ratiopharm ulm","2012/13",65,11,88,150,66,5.91,13.64,8,"Less than 15 minutes/game","More than 5 points/game"
"SCHWETHELM P",0,"ratiopharm ulm","2012/13",243,34,287,786,151,7.15,23.12,8.44,"More than 15 minutes/game","More than 5 points/game"
"THEIS D",0,"ratiopharm ulm","2012/13",236,34,318,566,108,6.94,16.65,9.35,"More than 15 minutes/game","More than 5 points/game"
"WATTS D",1,"ratiopharm ulm","2012/13",124,17,167,390,14,7.29,22.94,9.82,"More than 15 minutes/game","More than 5 points/game"
"ANDERSON D",0,"s.Oliver Baskets","2012/13",433,32,537,793,108,13.53,24.78,16.78,"More than 15 minutes/game","More than 5 points/game"
"BOONE J",1,"s.Oliver Baskets","2012/13",343,34,386,778,104,10.09,22.88,11.35,"More than 15 minutes/game","More than 5 points/game"
"CLAY O",1,"s.Oliver Baskets","2012/13",88,33,106,292,-64,2.67,8.85,3.21,"Less than 15 minutes/game","Less than 5 points/game"
"ELDRIDGE O",0,"s.Oliver Baskets","2012/13",9,2,13,26,-6,4.5,13,6.5,"Less than 15 minutes/game","Less than 5 points/game"
"HENNEBERGER C",1,"s.Oliver Baskets","2012/13",16,15,1,67,16,1.07,4.47,0.07,"Less than 15 minutes/game","Less than 5 points/game"
"JACOBSON B",1,"s.Oliver Baskets","2012/13",89,13,55,352,-1,6.85,27.08,4.23,"More than 15 minutes/game","More than 5 points/game"
"KING A",1,"s.Oliver Baskets","2012/13",237,34,272,772,-75,6.97,22.71,8,"More than 15 minutes/game","More than 5 points/game"
"LENZLY M",0,"s.Oliver Baskets","2012/13",98,16,119,430,28,6.12,26.88,7.44,"More than 15 minutes/game","More than 5 points/game"
"LITTLE J",1,"s.Oliver Baskets","2012/13",153,25,141,631,88,6.12,25.24,5.64,"More than 15 minutes/game","More than 5 points/game"
"MCINTOSH L",0,"s.Oliver Baskets","2012/13",254,34,184,728,-14,7.47,21.41,5.41,"More than 15 minutes/game","More than 5 points/game"
"MCKINNEY J",0,"s.Oliver Baskets","2012/13",241,22,192,674,34,10.95,30.64,8.73,"More than 15 minutes/game","More than 5 points/game"
"MCNAUGHTON C",0,"s.Oliver Baskets","2012/13",145,24,146,382,-6,6.04,15.92,6.08,"More than 15 minutes/game","More than 5 points/game"
"ROBINSON F",0,"s.Oliver Baskets","2012/13",124,11,115,321,15,11.27,29.18,10.45,"More than 15 minutes/game","More than 5 points/game"
"STUCKEY M",0,"s.Oliver Baskets","2012/13",133,34,84,407,-42,3.91,11.97,2.47,"Less than 15 minutes/game","Less than 5 points/game"
"UGRAI M",0,"s.Oliver Baskets","2012/13",11,1,8,20,-8,11,20,8,"More than 15 minutes/game","More than 5 points/game"
"BUCKNOR J",0,"TBB Trier","2012/13",255,32,259,573,-44,7.97,17.91,8.09,"More than 15 minutes/game","More than 5 points/game"
"CHIKOKO V",0,"TBB Trier","2012/13",206,33,241,515,-52,6.24,15.61,7.3,"More than 15 minutes/game","More than 5 points/game"
"DOJCIN D",1,"TBB Trier","2012/13",2,3,3,34,-9,0.67,11.33,1,"Less than 15 minutes/game","Less than 5 points/game"
"DORETH B",0,"TBB Trier","2012/13",141,32,103,579,-121,4.41,18.09,3.22,"More than 15 minutes/game","Less than 5 points/game"
"HARPER B",0,"TBB Trier","2012/13",363,33,310,719,47,11,21.79,9.39,"More than 15 minutes/game","More than 5 points/game"
"HOWELL J",0,"TBB Trier","2012/13",208,34,219,853,99,6.12,25.09,6.44,"More than 15 minutes/game","More than 5 points/game"
"LINHART N",1,"TBB Trier","2012/13",429,34,540,975,85,12.62,28.68,15.88,"More than 15 minutes/game","More than 5 points/game"
"LOPES J",1,"TBB Trier","2012/13",0,3,0,6,-8,0,2,0,"Less than 15 minutes/game","Less than 5 points/game"
"MöNNINGHOFF M",0,"TBB Trier","2012/13",134,34,118,409,-142,3.94,12.03,3.47,"Less than 15 minutes/game","Less than 5 points/game"
"SAIBOU J",1,"TBB Trier","2012/13",82,34,62,317,-66,2.41,9.32,1.82,"Less than 15 minutes/game","Less than 5 points/game"
"SEIFERTH A",1,"TBB Trier","2012/13",322,34,331,835,37,9.47,24.56,9.74,"More than 15 minutes/game","More than 5 points/game"
"STEWART B",0,"TBB Trier","2012/13",425,34,349,1028,98,12.5,30.24,10.26,"More than 15 minutes/game","More than 5 points/game"
"APASU J",0,"Telekom Baskets Bonn","2012/13",2,1,0,10,-4,2,10,0,"Less than 15 minutes/game","Less than 5 points/game"
"DOHMEN M",0,"Telekom Baskets Bonn","2012/13",5,2,1,12,-5,2.5,6,0.5,"Less than 15 minutes/game","Less than 5 points/game"
"ENSMINGER C",1,"Telekom Baskets Bonn","2012/13",271,34,318,631,-39,7.97,18.56,9.35,"More than 15 minutes/game","More than 5 points/game"
"EWING JUNIOR P",0,"Telekom Baskets Bonn","2012/13",138,12,150,255,0,11.5,21.25,12.5,"More than 15 minutes/game","More than 5 points/game"
"JORDAN J",1,"Telekom Baskets Bonn","2012/13",349,34,557,1136,71,10.26,33.41,16.38,"More than 15 minutes/game","More than 5 points/game"
"KOCH F",1,"Telekom Baskets Bonn","2012/13",6,7,9,21,23,0.86,3,1.29,"Less than 15 minutes/game","Less than 5 points/game"
"MANGOLD A",1,"Telekom Baskets Bonn","2012/13",92,30,114,454,-1,3.07,15.13,3.8,"More than 15 minutes/game","Less than 5 points/game"
"MCCRAY D",0,"Telekom Baskets Bonn","2012/13",261,34,200,558,-58,7.68,16.41,5.88,"More than 15 minutes/game","More than 5 points/game"
"MCLEAN J",0,"Telekom Baskets Bonn","2012/13",208,17,250,421,65,12.24,24.76,14.71,"More than 15 minutes/game","More than 5 points/game"
"MUELLER J",0,"Telekom Baskets Bonn","2012/13",3,1,4,11,-5,3,11,4,"Less than 15 minutes/game","Less than 5 points/game"
"THüLIG F",1,"Telekom Baskets Bonn","2012/13",72,26,66,261,19,2.77,10.04,2.54,"Less than 15 minutes/game","Less than 5 points/game"
"VADEN R",0,"Telekom Baskets Bonn","2012/13",376,28,312,870,74,13.43,31.07,11.14,"More than 15 minutes/game","More than 5 points/game"
"VEIKALAS B",1,"Telekom Baskets Bonn","2012/13",371,32,336,824,-73,11.59,25.75,10.5,"More than 15 minutes/game","More than 5 points/game"
"WEEMS K",0,"Telekom Baskets Bonn","2012/13",436,34,423,915,-27,12.82,26.91,12.44,"More than 15 minutes/game","More than 5 points/game"
"WOHLFARTH-BOTTERMANN J",1,"Telekom Baskets Bonn","2012/13",189,32,240,466,22,5.91,14.56,7.5,"Less than 15 minutes/game","More than 5 points/game"
"ALBUS J",1,"WALTER Tigers Tübingen","2012/13",7,11,6,25,2,0.64,2.27,0.55,"Less than 15 minutes/game","Less than 5 points/game"
"DAVIS D",0,"WALTER Tigers Tübingen","2012/13",16,5,4,43,-31,3.2,8.6,0.8,"Less than 15 minutes/game","Less than 5 points/game"
"DUGGINS V",1,"WALTER Tigers Tübingen","2012/13",462,33,384,1089,-62,14,33,11.64,"More than 15 minutes/game","More than 5 points/game"
"FREASE K",0,"WALTER Tigers Tübingen","2012/13",375,34,422,807,-3,11.03,23.74,12.41,"More than 15 minutes/game","More than 5 points/game"
"IVANDIC S",0,"WALTER Tigers Tübingen","2012/13",4,2,4,2,2,2,1,2,"Less than 15 minutes/game","Less than 5 points/game"
"LISCHKA J",0,"WALTER Tigers Tübingen","2012/13",380,34,414,859,-85,11.18,25.26,12.18,"More than 15 minutes/game","More than 5 points/game"
"NASH T",1,"WALTER Tigers Tübingen","2012/13",343,32,398,908,-65,10.72,28.38,12.44,"More than 15 minutes/game","More than 5 points/game"
"OEHLE R",0,"WALTER Tigers Tübingen","2012/13",80,33,87,300,-91,2.42,9.09,2.64,"Less than 15 minutes/game","Less than 5 points/game"
"REDDING R",1,"WALTER Tigers Tübingen","2012/13",475,34,550,1174,7,13.97,34.53,16.18,"More than 15 minutes/game","More than 5 points/game"
"SPODEN R",1,"WALTER Tigers Tübingen","2012/13",29,18,12,108,-26,1.61,6,0.67,"Less than 15 minutes/game","Less than 5 points/game"
"WELLS C",0,"WALTER Tigers Tübingen","2012/13",173,29,168,576,-117,5.97,19.86,5.79,"More than 15 minutes/game","More than 5 points/game"
"YOUNG J",1,"WALTER Tigers Tübingen","2012/13",310,34,312,928,51,9.12,27.29,9.18,"More than 15 minutes/game","More than 5 points/game"
"AKPINAR I",0,"ALBA BERLIN","2013/14",10,5,3,18,-17,2,3.6,0.6,"Less than 15 minutes/game","Less than 5 points/game"
"FüLLE S",1,"ALBA BERLIN","2013/14",0,4,3,9,2,0,2.25,0.75,"Less than 15 minutes/game","Less than 5 points/game"
"HAMMONDS C",0,"ALBA BERLIN","2013/14",294,34,341,936,355,8.65,27.53,10.03,"More than 15 minutes/game","More than 5 points/game"
"JAGLA J",0,"ALBA BERLIN","2013/14",244,34,265,452,224,7.18,13.29,7.79,"Less than 15 minutes/game","More than 5 points/game"
"KENDALL L",0,"ALBA BERLIN","2013/14",258,33,340,691,254,7.82,20.94,10.3,"More than 15 minutes/game","More than 5 points/game"
"KING A",0,"ALBA BERLIN","2013/14",177,34,226,648,121,5.21,19.06,6.65,"More than 15 minutes/game","More than 5 points/game"
"LOGAN D",0,"ALBA BERLIN","2013/14",403,30,351,760,243,13.43,25.33,11.7,"More than 15 minutes/game","More than 5 points/game"
"RADOSEVIC L",0,"ALBA BERLIN","2013/14",272,24,278,501,169,11.33,20.88,11.58,"More than 15 minutes/game","More than 5 points/game"
"REDDING R",0,"ALBA BERLIN","2013/14",422,34,498,905,279,12.41,26.62,14.65,"More than 15 minutes/game","More than 5 points/game"
"SCHULTZE S",1,"ALBA BERLIN","2013/14",44,17,41,105,24,2.59,6.18,2.41,"Less than 15 minutes/game","Less than 5 points/game"
"SLOKAR U",0,"ALBA BERLIN","2013/14",24,6,35,104,11,4,17.33,5.83,"More than 15 minutes/game","Less than 5 points/game"
"STOJANOVSKI V",0,"ALBA BERLIN","2013/14",312,33,282,601,151,9.45,18.21,8.55,"More than 15 minutes/game","More than 5 points/game"
"TIMOR B",0,"ALBA BERLIN","2013/14",2,4,-5,19,11,0.5,4.75,-1.25,"Less than 15 minutes/game","Less than 5 points/game"
"VARGAS A",0,"ALBA BERLIN","2013/14",128,33,169,589,139,3.88,17.85,5.12,"More than 15 minutes/game","Less than 5 points/game"
"WOHLFARTH-BOTTERMANN J",0,"ALBA BERLIN","2013/14",193,33,181,452,74,5.85,13.7,5.48,"Less than 15 minutes/game","More than 5 points/game"
"ABDUL-HAMID M",0,"Artland Dragons","2013/14",13,3,14,38,-4,4.33,12.67,4.67,"Less than 15 minutes/game","Less than 5 points/game"
"DORETH B",0,"Artland Dragons","2013/14",122,29,123,465,-30,4.21,16.03,4.24,"More than 15 minutes/game","Less than 5 points/game"
"FREASE K",0,"Artland Dragons","2013/14",226,32,252,511,-55,7.06,15.97,7.88,"More than 15 minutes/game","More than 5 points/game"
"GRAVES A",0,"Artland Dragons","2013/14",318,34,272,898,9,9.35,26.41,8,"More than 15 minutes/game","More than 5 points/game"
"GRüNHEID G",1,"Artland Dragons","2013/14",88,26,132,378,-38,3.38,14.54,5.08,"Less than 15 minutes/game","Less than 5 points/game"
"HILL L",0,"Artland Dragons","2013/14",383,33,499,888,36,11.61,26.91,15.12,"More than 15 minutes/game","More than 5 points/game"
"HOFFMANN C",1,"Artland Dragons","2013/14",47,20,32,174,-28,2.35,8.7,1.6,"Less than 15 minutes/game","Less than 5 points/game"
"HOLSTON D",0,"Artland Dragons","2013/14",367,33,382,901,49,11.12,27.3,11.58,"More than 15 minutes/game","More than 5 points/game"
"NJEI A",1,"Artland Dragons","2013/14",44,26,44,216,-53,1.69,8.31,1.69,"Less than 15 minutes/game","Less than 5 points/game"
"THOMAS B",0,"Artland Dragons","2013/14",358,30,342,889,69,11.93,29.63,11.4,"More than 15 minutes/game","More than 5 points/game"
"TOPPER C",0,"Artland Dragons","2013/14",227,34,225,571,-36,6.68,16.79,6.62,"More than 15 minutes/game","More than 5 points/game"
"WENZL M",0,"Artland Dragons","2013/14",29,17,29,94,-49,1.71,5.53,1.71,"Less than 15 minutes/game","Less than 5 points/game"
"BOGDANOV M",0,"Basketball Löwen Braunschweig","2013/14",10,6,2,46,-7,1.67,7.67,0.33,"Less than 15 minutes/game","Less than 5 points/game"
"DOORNEKAMP A",0,"Basketball Löwen Braunschweig","2013/14",299,34,433,997,-55,8.79,29.32,12.74,"More than 15 minutes/game","More than 5 points/game"
"FLORENCE J",0,"Basketball Löwen Braunschweig","2013/14",402,32,323,1000,-32,12.56,31.25,10.09,"More than 15 minutes/game","More than 5 points/game"
"GERTZ L",1,"Basketball Löwen Braunschweig","2013/14",6,8,2,30,-11,0.75,3.75,0.25,"Less than 15 minutes/game","Less than 5 points/game"
"JOHNSON D",0,"Basketball Löwen Braunschweig","2013/14",5,7,5,25,17,0.71,3.57,0.71,"Less than 15 minutes/game","Less than 5 points/game"
"KADJI K",0,"Basketball Löwen Braunschweig","2013/14",31,5,25,76,-19,6.2,15.2,5,"More than 15 minutes/game","More than 5 points/game"
"KULAWICK R",1,"Basketball Löwen Braunschweig","2013/14",113,34,89,473,-103,3.32,13.91,2.62,"Less than 15 minutes/game","Less than 5 points/game"
"LAND E",1,"Basketball Löwen Braunschweig","2013/14",14,14,22,66,3,1,4.71,1.57,"Less than 15 minutes/game","Less than 5 points/game"
"MANIGAT W",0,"Basketball Löwen Braunschweig","2013/14",6,2,3,15,4,3,7.5,1.5,"Less than 15 minutes/game","Less than 5 points/game"
"MCELROY I",1,"Basketball Löwen Braunschweig","2013/14",361,33,402,1069,-121,10.94,32.39,12.18,"More than 15 minutes/game","More than 5 points/game"
"NANA H",1,"Basketball Löwen Braunschweig","2013/14",185,23,221,543,-107,8.04,23.61,9.61,"More than 15 minutes/game","More than 5 points/game"
"PLUSKOTA M",0,"Basketball Löwen Braunschweig","2013/14",47,23,75,213,-56,2.04,9.26,3.26,"Less than 15 minutes/game","Less than 5 points/game"
"SWANN I",0,"Basketball Löwen Braunschweig","2013/14",610,34,512,1096,-69,17.94,32.24,15.06,"More than 15 minutes/game","More than 5 points/game"
"VISSER K",0,"Basketball Löwen Braunschweig","2013/14",435,33,491,865,-40,13.18,26.21,14.88,"More than 15 minutes/game","More than 5 points/game"
"WENZEL B",0,"Basketball Löwen Braunschweig","2013/14",4,2,5,7,-4,2,3.5,2.5,"Less than 15 minutes/game","Less than 5 points/game"
"WESSELS J",0,"Basketball Löwen Braunschweig","2013/14",2,3,6,8,-3,0.67,2.67,2,"Less than 15 minutes/game","Less than 5 points/game"
"ZAZAI A",0,"Basketball Löwen Braunschweig","2013/14",61,27,76,287,-59,2.26,10.63,2.81,"Less than 15 minutes/game","Less than 5 points/game"
"FISCHER D",0,"Brose Bamberg","2013/14",254,24,395,527,227,10.58,21.96,16.46,"More than 15 minutes/game","More than 5 points/game"
"FORD S",1,"Brose Bamberg","2013/14",201,24,255,471,155,8.38,19.62,10.62,"More than 15 minutes/game","More than 5 points/game"
"GAVEL A",1,"Brose Bamberg","2013/14",398,32,409,936,281,12.44,29.25,12.78,"More than 15 minutes/game","More than 5 points/game"
"GOLDSBERRY J",1,"Brose Bamberg","2013/14",63,21,111,380,86,3,18.1,5.29,"More than 15 minutes/game","Less than 5 points/game"
"HARRIS E",0,"Brose Bamberg","2013/14",228,21,233,444,138,10.86,21.14,11.1,"More than 15 minutes/game","More than 5 points/game"
"JACOBSEN C",1,"Brose Bamberg","2013/14",239,30,237,699,200,7.97,23.3,7.9,"More than 15 minutes/game","More than 5 points/game"
"MARKOTA D",0,"Brose Bamberg","2013/14",54,9,80,166,27,6,18.44,8.89,"More than 15 minutes/game","More than 5 points/game"
"ROCKMANN M",1,"Brose Bamberg","2013/14",0,5,-1,12,-2,0,2.4,-0.2,"Less than 15 minutes/game","Less than 5 points/game"
"SANDERS R",0,"Brose Bamberg","2013/14",316,34,275,669,190,9.29,19.68,8.09,"More than 15 minutes/game","More than 5 points/game"
"SCHMIDT D",1,"Brose Bamberg","2013/14",2,14,-5,51,-14,0.14,3.64,-0.36,"Less than 15 minutes/game","Less than 5 points/game"
"SMITH J",0,"Brose Bamberg","2013/14",316,29,278,576,88,10.9,19.86,9.59,"More than 15 minutes/game","More than 5 points/game"
"TADDA K",1,"Brose Bamberg","2013/14",62,34,104,403,94,1.82,11.85,3.06,"Less than 15 minutes/game","Less than 5 points/game"
"THIEMANN J",0,"Brose Bamberg","2013/14",0,6,-8,16,5,0,2.67,-1.33,"Less than 15 minutes/game","Less than 5 points/game"
"VELICKOVIC N",0,"Brose Bamberg","2013/14",35,8,43,126,-63,4.38,15.75,5.38,"More than 15 minutes/game","Less than 5 points/game"
"WRIGHT Z",0,"Brose Bamberg","2013/14",170,17,194,379,45,10,22.29,11.41,"More than 15 minutes/game","More than 5 points/game"
"ZIRBES M",1,"Brose Bamberg","2013/14",290,34,330,591,38,8.53,17.38,9.71,"More than 15 minutes/game","More than 5 points/game"
"ADAMS D",0,"Eisbären Bremerhaven","2013/14",613,34,556,1077,39,18.03,31.68,16.35,"More than 15 minutes/game","More than 5 points/game"
"ALLEN D",0,"Eisbären Bremerhaven","2013/14",377,34,353,985,-64,11.09,28.97,10.38,"More than 15 minutes/game","More than 5 points/game"
"BAUES H",0,"Eisbären Bremerhaven","2013/14",9,11,4,39,-42,0.82,3.55,0.36,"Less than 15 minutes/game","Less than 5 points/game"
"EL DOMIATY J",1,"Eisbären Bremerhaven","2013/14",68,26,57,275,-76,2.62,10.58,2.19,"Less than 15 minutes/game","Less than 5 points/game"
"HARPER B",0,"Eisbären Bremerhaven","2013/14",195,33,220,530,-16,5.91,16.06,6.67,"More than 15 minutes/game","More than 5 points/game"
"JACKSON S",1,"Eisbären Bremerhaven","2013/14",76,11,88,257,-11,6.91,23.36,8,"More than 15 minutes/game","More than 5 points/game"
"JUSKEVICIUS A",0,"Eisbären Bremerhaven","2013/14",311,32,302,938,-47,9.72,29.31,9.44,"More than 15 minutes/game","More than 5 points/game"
"KONE B",1,"Eisbären Bremerhaven","2013/14",15,18,12,105,-72,0.83,5.83,0.67,"Less than 15 minutes/game","Less than 5 points/game"
"MALU J",1,"Eisbären Bremerhaven","2013/14",0,2,-1,4,-10,0,2,-0.5,"Less than 15 minutes/game","Less than 5 points/game"
"MARTIN J",0,"Eisbären Bremerhaven","2013/14",10,13,-3,37,-44,0.77,2.85,-0.23,"Less than 15 minutes/game","Less than 5 points/game"
"MAYIKA LUNGONGO L",0,"Eisbären Bremerhaven","2013/14",3,1,1,30,1,3,30,1,"More than 15 minutes/game","Less than 5 points/game"
"SCHNEIDERS N",0,"Eisbären Bremerhaven","2013/14",101,29,153,310,24,3.48,10.69,5.28,"Less than 15 minutes/game","Less than 5 points/game"
"SEARCY D",0,"Eisbären Bremerhaven","2013/14",319,32,415,783,-149,9.97,24.47,12.97,"More than 15 minutes/game","More than 5 points/game"
"SHARPLESS A",0,"Eisbären Bremerhaven","2013/14",3,4,-2,25,-15,0.75,6.25,-0.5,"Less than 15 minutes/game","Less than 5 points/game"
"SMITH A",0,"Eisbären Bremerhaven","2013/14",179,22,182,539,-51,8.14,24.5,8.27,"More than 15 minutes/game","More than 5 points/game"
"ZWIENER P",1,"Eisbären Bremerhaven","2013/14",322,32,318,889,-56,10.06,27.78,9.94,"More than 15 minutes/game","More than 5 points/game"
"ALEKSANDROV N",0,"EWE Baskets Oldenburg","2013/14",326,33,342,729,79,9.88,22.09,10.36,"More than 15 minutes/game","More than 5 points/game"
"BAHIENSE DE MELLO D",1,"EWE Baskets Oldenburg","2013/14",62,30,52,375,0,2.07,12.5,1.73,"Less than 15 minutes/game","Less than 5 points/game"
"BRYANT T",0,"EWE Baskets Oldenburg","2013/14",37,8,27,97,19,4.62,12.12,3.38,"Less than 15 minutes/game","Less than 5 points/game"
"CHUBB A",1,"EWE Baskets Oldenburg","2013/14",41,5,50,102,35,8.2,20.4,10,"More than 15 minutes/game","More than 5 points/game"
"CROSARIOL A",0,"EWE Baskets Oldenburg","2013/14",165,18,229,390,34,9.17,21.67,12.72,"More than 15 minutes/game","More than 5 points/game"
"FREESE J",1,"EWE Baskets Oldenburg","2013/14",58,31,66,336,-1,1.87,10.84,2.13,"Less than 15 minutes/game","Less than 5 points/game"
"JENKINS J",1,"EWE Baskets Oldenburg","2013/14",477,32,408,798,100,14.91,24.94,12.75,"More than 15 minutes/game","More than 5 points/game"
"JOYCE D",1,"EWE Baskets Oldenburg","2013/14",265,33,280,827,79,8.03,25.06,8.48,"More than 15 minutes/game","More than 5 points/game"
"KRAMER C",1,"EWE Baskets Oldenburg","2013/14",353,34,454,965,138,10.38,28.38,13.35,"More than 15 minutes/game","More than 5 points/game"
"LOCKHART D",0,"EWE Baskets Oldenburg","2013/14",0,4,0,6,-3,0,1.5,0,"Less than 15 minutes/game","Less than 5 points/game"
"NEUMANN P",0,"EWE Baskets Oldenburg","2013/14",151,21,151,291,44,7.19,13.86,7.19,"Less than 15 minutes/game","More than 5 points/game"
"PAULDING R",1,"EWE Baskets Oldenburg","2013/14",474,34,468,948,113,13.94,27.88,13.76,"More than 15 minutes/game","More than 5 points/game"
"SMEULDERS R",1,"EWE Baskets Oldenburg","2013/14",191,27,215,438,73,7.07,16.22,7.96,"More than 15 minutes/game","More than 5 points/game"
"SMIT K",1,"EWE Baskets Oldenburg","2013/14",15,17,8,47,-14,0.88,2.76,0.47,"Less than 15 minutes/game","Less than 5 points/game"
"WYSOCKI K",1,"EWE Baskets Oldenburg","2013/14",160,33,177,492,74,4.85,14.91,5.36,"Less than 15 minutes/game","Less than 5 points/game"
"BENZING R",1,"FC Bayern München","2013/14",290,33,294,541,254,8.79,16.39,8.91,"More than 15 minutes/game","More than 5 points/game"
"BRYANT J",0,"FC Bayern München","2013/14",284,31,412,673,180,9.16,21.71,13.29,"More than 15 minutes/game","More than 5 points/game"
"DELANEY M",0,"FC Bayern München","2013/14",341,33,390,859,205,10.33,26.03,11.82,"More than 15 minutes/game","More than 5 points/game"
"DJEDOVIC N",0,"FC Bayern München","2013/14",323,26,290,570,149,12.42,21.92,11.15,"More than 15 minutes/game","More than 5 points/game"
"HAMANN S",1,"FC Bayern München","2013/14",47,25,78,213,114,1.88,8.52,3.12,"Less than 15 minutes/game","Less than 5 points/game"
"IDBIHI Y",0,"FC Bayern München","2013/14",201,33,279,531,180,6.09,16.09,8.45,"More than 15 minutes/game","More than 5 points/game"
"SAVOVIC B",0,"FC Bayern München","2013/14",194,25,221,442,171,7.76,17.68,8.84,"More than 15 minutes/game","More than 5 points/game"
"SCHAFFARTZIK H",0,"FC Bayern München","2013/14",253,33,251,682,198,7.67,20.67,7.61,"More than 15 minutes/game","More than 5 points/game"
"STAIGER L",0,"FC Bayern München","2013/14",137,25,138,402,173,5.48,16.08,5.52,"More than 15 minutes/game","More than 5 points/game"
"TAYLOR B",0,"FC Bayern München","2013/14",341,33,372,788,190,10.33,23.88,11.27,"More than 15 minutes/game","More than 5 points/game"
"THOMPSON D",0,"FC Bayern München","2013/14",265,24,300,502,107,11.04,20.92,12.5,"More than 15 minutes/game","More than 5 points/game"
"TROUTMAN C",1,"FC Bayern München","2013/14",215,26,277,479,136,8.27,18.42,10.65,"More than 15 minutes/game","More than 5 points/game"
"ZIPSER P",1,"FC Bayern München","2013/14",49,16,68,137,38,3.06,8.56,4.25,"Less than 15 minutes/game","Less than 5 points/game"
"BARTHEL D",1,"FRAPORT SKYLINERS","2013/14",384,34,425,955,-40,11.29,28.09,12.5,"More than 15 minutes/game","More than 5 points/game"
"BRIGHT K",0,"FRAPORT SKYLINERS","2013/14",130,22,104,403,-34,5.91,18.32,4.73,"More than 15 minutes/game","More than 5 points/game"
"BURTSCHI J",0,"FRAPORT SKYLINERS","2013/14",187,26,278,705,6,7.19,27.12,10.69,"More than 15 minutes/game","More than 5 points/game"
"DUBOIS J",0,"FRAPORT SKYLINERS","2013/14",181,24,115,477,-23,7.54,19.88,4.79,"More than 15 minutes/game","More than 5 points/game"
"GALLOWAY R",0,"FRAPORT SKYLINERS","2013/14",235,24,180,600,-98,9.79,25,7.5,"More than 15 minutes/game","More than 5 points/game"
"ILZHöFER S",0,"FRAPORT SKYLINERS","2013/14",2,4,0,19,-7,0.5,4.75,0,"Less than 15 minutes/game","Less than 5 points/game"
"KLEIN K",1,"FRAPORT SKYLINERS","2013/14",230,29,198,794,-33,7.93,27.38,6.83,"More than 15 minutes/game","More than 5 points/game"
"MERZ M",1,"FRAPORT SKYLINERS","2013/14",36,26,31,256,-72,1.38,9.85,1.19,"Less than 15 minutes/game","Less than 5 points/game"
"N´DIAYE A",0,"FRAPORT SKYLINERS","2013/14",154,32,196,442,-37,4.81,13.81,6.12,"Less than 15 minutes/game","Less than 5 points/game"
"NOLTE M",1,"FRAPORT SKYLINERS","2013/14",15,10,9,53,0,1.5,5.3,0.9,"Less than 15 minutes/game","Less than 5 points/game"
"NOVAK J",1,"FRAPORT SKYLINERS","2013/14",1,7,0,13,-5,0.14,1.86,0,"Less than 15 minutes/game","Less than 5 points/game"
"OLDENBURG T",1,"FRAPORT SKYLINERS","2013/14",0,4,-1,3,-5,0,0.75,-0.25,"Less than 15 minutes/game","Less than 5 points/game"
"RAUTINS A",0,"FRAPORT SKYLINERS","2013/14",264,15,233,504,40,17.6,33.6,15.53,"More than 15 minutes/game","More than 5 points/game"
"RICHTER J",0,"FRAPORT SKYLINERS","2013/14",7,9,6,27,-29,0.78,3,0.67,"Less than 15 minutes/game","Less than 5 points/game"
"ROBERTSON Q",1,"FRAPORT SKYLINERS","2013/14",194,21,233,673,-2,9.24,32.05,11.1,"More than 15 minutes/game","More than 5 points/game"
"ROBINSON D",1,"FRAPORT SKYLINERS","2013/14",71,5,50,141,-49,14.2,28.2,10,"More than 15 minutes/game","More than 5 points/game"
"VOIGTMANN J",1,"FRAPORT SKYLINERS","2013/14",275,34,359,729,-110,8.09,21.44,10.56,"More than 15 minutes/game","More than 5 points/game"
"WATTS D",0,"FRAPORT SKYLINERS","2013/14",46,4,60,99,8,11.5,24.75,15,"More than 15 minutes/game","More than 5 points/game"
"BAILEY B",1,"medi bayreuth","2013/14",32,4,33,61,-18,8,15.25,8.25,"More than 15 minutes/game","More than 5 points/game"
"BURRELL R",0,"medi bayreuth","2013/14",382,34,370,847,-72,11.24,24.91,10.88,"More than 15 minutes/game","More than 5 points/game"
"CHAMBERS T",1,"medi bayreuth","2013/14",11,15,9,48,-18,0.73,3.2,0.6,"Less than 15 minutes/game","Less than 5 points/game"
"HAMILTON K",1,"medi bayreuth","2013/14",291,31,425,938,-30,9.39,30.26,13.71,"More than 15 minutes/game","More than 5 points/game"
"HEYDEN P",0,"medi bayreuth","2013/14",156,29,179,355,-122,5.38,12.24,6.17,"Less than 15 minutes/game","More than 5 points/game"
"QVALE B",0,"medi bayreuth","2013/14",445,34,510,912,16,13.09,26.82,15,"More than 15 minutes/game","More than 5 points/game"
"SCHMITZ S",1,"medi bayreuth","2013/14",90,34,88,445,-69,2.65,13.09,2.59,"Less than 15 minutes/game","Less than 5 points/game"
"SEELEY D",0,"medi bayreuth","2013/14",187,14,166,434,9,13.36,31,11.86,"More than 15 minutes/game","More than 5 points/game"
"SEHOVIC S",0,"medi bayreuth","2013/14",125,10,116,263,-64,12.5,26.3,11.6,"More than 15 minutes/game","More than 5 points/game"
